customer_id,add_to_cart,purchase,view,view_to_cart_rate,cart_to_purchase_rate
1,1,3,4,0.25,3.00
2,6,1,6,1.00,0.17
3,4,1,6,0.67,0.25
4,4,2,7,0.57,0.50
5,2,1,4,0.50,0.50
6,1,0,5,0.20,0.00
7,3,2,7,0.43,0.67
8,2,0,12,0.17,0.00
9,6,0,4,1.50,0.00
10,0,0,3,0.00,0.00
11,1,1,7,0.14,1.00
12,5,0,7,0.71,0.00
13,4,2,7,0.57,0.50
14,2,2,5,0.40,1.00
15,6,0,5,1.20,0.00
16,2,1,11,0.18,0.50
17,4,2,9,0.44,0.50
18,4,2,5,0.80,0.50
19,2,3,9,0.22,1.50
20,7,0,8,0.88,0.00
21,5,0,10,0.50,0.00
22,3,1,6,0.50,0.33
23,7,1,10,0.70,0.14
24,5,1,7,0.71,0.20
25,5,1,8,0.62,0.20
26,3,2,10,0.30,0.67
27,4,3,9,0.44,0.75
28,3,3,7,0.43,1.00
29,4,1,11,0.36,0.25
30,7,0,9,0.78,0.00
31,2,2,6,0.33,1.00
32,1,1,11,0.09,1.00
33,5,2,9,0.56,0.40
34,6,0,6,1.00,0.00
35,2,2,7,0.29,1.00
36,4,2,14,0.29,0.50
37,3,1,8,0.38,0.33
38,4,0,7,0.57,0.00
39,1,1,8,0.12,1.00
40,5,2,5,1.00,0.40
41,5,4,9,0.56,0.80
42,5,2,9,0.56,0.40
43,7,1,4,1.75,0.14
44,4,0,4,1.00,0.00
45,1,1,5,0.20,1.00
46,4,0,6,0.67,0.00
47,5,3,11,0.45,0.60
48,3,1,6,0.50,0.33
49,9,1,5,1.80,0.11
50,6,4,1,6.00,0.67
51,3,1,7,0.43,0.33
52,1,2,9,0.11,2.00
53,6,1,6,1.00,0.17
54,2,0,8,0.25,0.00
55,2,3,4,0.50,1.50
56,1,2,12,0.08,2.00
57,4,1,10,0.40,0.25
58,6,0,4,1.50,0.00
59,1,3,3,0.33,3.00
60,5,0,9,0.56,0.00
61,4,1,7,0.57,0.25
62,4,3,4,1.00,0.75
63,4,0,6,0.67,0.00
64,3,1,14,0.21,0.33
65,5,2,7,0.71,0.40
66,5,1,1,5.00,0.20
67,5,2,4,1.25,0.40
68,2,2,7,0.29,1.00
69,1,0,5,0.20,0.00
70,5,0,6,0.83,0.00
71,5,1,4,1.25,0.20
72,0,0,7,0.00,0.00
73,7,2,5,1.40,0.29
74,6,1,11,0.55,0.17
75,5,2,3,1.67,0.40
76,2,2,13,0.15,1.00
77,4,0,12,0.33,0.00
78,3,0,8,0.38,0.00
79,3,1,8,0.38,0.33
80,8,2,9,0.89,0.25
81,2,0,6,0.33,0.00
82,2,1,8,0.25,0.50
83,4,3,9,0.44,0.75
84,5,1,8,0.62,0.20
85,4,2,6,0.67,0.50
86,2,1,14,0.14,0.50
87,3,1,5,0.60,0.33
88,7,1,14,0.50,0.14
89,1,0,11,0.09,0.00
90,2,2,8,0.25,1.00
91,3,1,7,0.43,0.33
92,3,1,11,0.27,0.33
93,3,2,6,0.50,0.67
94,2,3,4,0.50,1.50
95,1,2,5,0.20,2.00
96,3,2,5,0.60,0.67
97,9,1,11,0.82,0.11
98,1,1,8,0.12,1.00
99,2,1,7,0.29,0.50
100,3,2,8,0.38,0.67
101,8,1,7,1.14,0.12
102,1,1,5,0.20,1.00
103,3,0,9,0.33,0.00
104,1,0,7,0.14,0.00
105,5,2,9,0.56,0.40
106,2,0,7,0.29,0.00
107,6,4,10,0.60,0.67
108,3,0,7,0.43,0.00
109,2,0,6,0.33,0.00
110,6,3,8,0.75,0.50
111,5,1,10,0.50,0.20
112,5,0,7,0.71,0.00
113,2,1,4,0.50,0.50
114,5,2,7,0.71,0.40
115,3,0,11,0.27,0.00
116,5,3,5,1.00,0.60
117,3,0,10,0.30,0.00
118,6,2,6,1.00,0.33
119,2,1,9,0.22,0.50
120,1,3,8,0.12,3.00
121,3,3,5,0.60,1.00
122,6,1,6,1.00,0.17
123,9,0,9,1.00,0.00
124,1,0,9,0.11,0.00
125,7,1,6,1.17,0.14
126,3,0,10,0.30,0.00
127,3,1,3,1.00,0.33
128,5,0,5,1.00,0.00
129,7,1,10,0.70,0.14
130,2,1,5,0.40,0.50
131,4,1,6,0.67,0.25
132,5,2,4,1.25,0.40
133,5,1,8,0.62,0.20
134,3,3,9,0.33,1.00
135,1,1,4,0.25,1.00
136,5,0,3,1.67,0.00
137,2,0,12,0.17,0.00
138,1,1,4,0.25,1.00
139,5,1,8,0.62,0.20
140,1,2,5,0.20,2.00
141,3,0,9,0.33,0.00
142,2,0,5,0.40,0.00
143,5,0,5,1.00,0.00
144,5,1,6,0.83,0.20
145,3,1,7,0.43,0.33
146,2,4,9,0.22,2.00
147,6,1,7,0.86,0.17
148,2,2,7,0.29,1.00
149,4,1,6,0.67,0.25
150,7,1,8,0.88,0.14
151,4,0,6,0.67,0.00
152,2,1,5,0.40,0.50
153,2,0,13,0.15,0.00
154,6,4,6,1.00,0.67
155,2,0,8,0.25,0.00
156,9,0,4,2.25,0.00
157,6,1,8,0.75,0.17
158,5,3,3,1.67,0.60
159,1,1,8,0.12,1.00
160,0,3,8,0.00,0.00
161,7,2,7,1.00,0.29
162,9,0,3,3.00,0.00
163,0,2,7,0.00,0.00
164,9,1,8,1.12,0.11
165,1,2,9,0.11,2.00
166,5,0,4,1.25,0.00
167,5,0,10,0.50,0.00
168,2,0,7,0.29,0.00
169,5,0,2,2.50,0.00
170,3,2,4,0.75,0.67
171,2,1,7,0.29,0.50
172,2,0,6,0.33,0.00
173,3,3,10,0.30,1.00
174,4,2,10,0.40,0.50
175,5,1,7,0.71,0.20
176,1,0,14,0.07,0.00
177,5,2,9,0.56,0.40
178,5,3,9,0.56,0.60
179,4,1,4,1.00,0.25
180,1,2,3,0.33,2.00
181,1,1,4,0.25,1.00
182,6,4,7,0.86,0.67
183,6,1,7,0.86,0.17
184,4,1,7,0.57,0.25
185,1,0,7,0.14,0.00
186,6,0,8,0.75,0.00
187,6,0,5,1.20,0.00
188,4,0,6,0.67,0.00
189,1,3,4,0.25,3.00
190,5,1,4,1.25,0.20
191,9,1,5,1.80,0.11
192,2,1,6,0.33,0.50
193,5,0,9,0.56,0.00
194,6,2,11,0.55,0.33
195,5,1,4,1.25,0.20
