customer_id,is_premium,pet_type,total_orders,total_spend
1,TRUE,Dog,12,6406.89
2,TRUE,Dog,5,0
3,TRUE,Dog,9,1132.08
4,TRUE,Dog,10,1899.98
5,FALSE,Dog,8,0
6,TRUE,Dog,8,0
7,FALSE,Cat,5,2830.98
8,TRUE,Dog,8,6057.45
9,FALSE,Dog,4,0
10,FALSE,Dog,7,0
11,TRUE,Dog,11,4716.51
12,FALSE,Dog,8,3007.32
13,TRUE,Dog,16,5761
14,TRUE,Dog,12,752.67
15,FALSE,Cat,9,0
16,TRUE,Cat,14,4912.27
17,TRUE,Dog,19,3878.26
18,TRUE,Cat,5,1978.05
19,TRUE,Cat,5,9585.47
20,TRUE,Dog,7,717.93
21,FALSE,Cat,8,1509.22
22,FALSE,Dog,17,554.12
23,FALSE,Cat,13,2086.96
24,FALSE,Dog,10,3334.93
25,FALSE,Cat,11,7769.66
26,FALSE,Dog,6,0
27,TRUE,Cat,14,0
28,TRUE,Dog,14,6650.58
29,FALSE,Dog,12,6119.01
30,TRUE,Cat,11,1848.82
31,FALSE,Cat,8,1181.25
32,FALSE,Dog,14,8023.62
33,TRUE,Both,12,8316.98
34,TRUE,Both,13,711.22
35,TRUE,Dog,12,8190.38
36,TRUE,Dog,14,1524.78
37,TRUE,Cat,15,12236
38,TRUE,Dog,12,4102.32
39,TRUE,Cat,9,2567.18
40,TRUE,Cat,13,3474.67
41,FALSE,Cat,8,1071.18
42,FALSE,Both,10,2721.99
43,FALSE,Both,11,998.24
44,TRUE,Cat,12,0
45,TRUE,Dog,12,1963.9
46,TRUE,Dog,10,2216.26
47,FALSE,Dog,7,2011.25
48,FALSE,Cat,7,521.57
49,FALSE,Cat,7,5369.61
50,TRUE,Cat,9,403.5
51,FALSE,Dog,11,3568.58
52,TRUE,Dog,9,1050.85
53,TRUE,Dog,13,3333.19
54,FALSE,Dog,6,2195.32
55,FALSE,Dog,15,2271.38
56,FALSE,Cat,7,2190.7
57,TRUE,Dog,12,3375.21
58,TRUE,Both,11,1040
59,FALSE,Cat,7,653.65
60,FALSE,Dog,15,2243.22
61,FALSE,Both,15,2679.6
62,FALSE,Cat,3,0
63,TRUE,Dog,8,578.37
64,FALSE,Cat,12,0
65,TRUE,Dog,11,2258.62
66,TRUE,Both,16,5075.45
67,FALSE,Cat,8,0
68,TRUE,Both,7,1958.42
69,TRUE,Cat,15,3387.93
70,FALSE,Cat,12,123.64
71,TRUE,Dog,9,2188.4
72,FALSE,Dog,14,0
73,TRUE,Both,8,0
74,TRUE,Cat,10,5224.48
75,FALSE,Cat,12,0
76,TRUE,Both,8,0
77,FALSE,Dog,11,0
78,TRUE,Both,11,5193.03
79,TRUE,Cat,15,4901.21
80,TRUE,Dog,10,0
81,FALSE,Dog,10,0
82,FALSE,Cat,9,0
83,TRUE,Both,10,8120.02
84,TRUE,Dog,7,622.94
85,FALSE,Dog,11,256.07
86,FALSE,Cat,17,2208.47
87,TRUE,Dog,16,1256.17
88,TRUE,Dog,10,0
89,FALSE,Dog,11,2977.18
90,TRUE,Cat,8,10411.76
91,FALSE,Dog,9,0
92,TRUE,Cat,9,1685.18
93,TRUE,Cat,15,0
94,TRUE,Both,14,7264.86
95,FALSE,Dog,8,10458.2
96,TRUE,Cat,5,0
97,TRUE,Dog,6,5192.82
98,FALSE,Cat,11,1097.66
99,FALSE,Cat,13,0
100,FALSE,Cat,9,0
101,TRUE,Dog,6,2461.16
102,TRUE,Both,13,3850.35
103,FALSE,Cat,8,0
104,TRUE,Cat,10,1618.32
105,FALSE,Cat,8,2596.64
106,TRUE,Cat,11,3674.77
107,FALSE,Dog,10,2740.72
108,FALSE,Cat,12,554.12
109,FALSE,Dog,10,3959.54
110,FALSE,Dog,6,354.5
111,FALSE,Cat,8,3230.52
112,FALSE,Cat,8,2153.68
113,FALSE,Dog,7,522.94
114,FALSE,Dog,10,622.94
115,FALSE,Dog,17,0
116,FALSE,Cat,16,6595.41
117,FALSE,Cat,8,0
118,TRUE,Cat,10,3557.37
119,TRUE,Dog,9,0
120,TRUE,Dog,11,0
121,FALSE,Cat,8,1833.87
122,TRUE,Dog,13,9623.99
123,FALSE,Dog,9,1422.05
124,FALSE,Cat,12,2987.73
125,FALSE,Cat,6,0
126,FALSE,Cat,3,5429.97
127,FALSE,Dog,9,1370.36
128,FALSE,Dog,12,915.61
129,FALSE,Cat,8,0
130,TRUE,Dog,8,0
131,TRUE,Dog,5,0
132,TRUE,Dog,9,2215.32
133,FALSE,Dog,8,0
134,TRUE,Cat,12,5052.04
135,TRUE,Cat,13,0
136,FALSE,Dog,11,522.48
137,TRUE,Cat,10,0
138,FALSE,Dog,6,622.94
139,TRUE,Dog,11,3286.05
140,TRUE,Both,12,1454.27
141,TRUE,Cat,10,2908.54
142,TRUE,Dog,9,4552.28
143,TRUE,Dog,12,3778.5
144,FALSE,Dog,9,179.33
145,FALSE,Dog,7,3074.27
146,FALSE,Cat,7,111.14
147,TRUE,Cat,13,1829.98
148,TRUE,Dog,13,6625.03
149,TRUE,Dog,11,4713.03
150,TRUE,Cat,12,6023.79
151,TRUE,Cat,9,924.41
152,FALSE,Dog,11,0
153,FALSE,Cat,7,0
154,TRUE,Dog,5,507.09
155,TRUE,Cat,12,4161.26
